date,item_id,item_name,quantity_sold
2023-01-19,fish_curry_rice,Fish Curry Rice,241
2023-01-19,luchi_aloo,Luchi Aloo,109
2023-01-19,ghugni,Ghugni,78
2023-01-19,maggi,Maggi,265
2023-01-19,tea_biscuit,Tea Biscuit,47
2023-01-19,chicken_roll,Chicken Roll,186
2023-01-19,egg_roll,Egg Roll,156
2023-01-19,veg_momo,Veg Momo,64
2023-01-19,ice_cream,Ice Cream,87
2023-01-20,veg_biryani,Veg Biryani,111
2023-01-20,fish_curry_rice,Fish Curry Rice,176
2023-01-20,luchi_aloo,Luchi Aloo,117
2023-01-20,ghugni,Ghugni,89
2023-01-20,maggi,Maggi,313
2023-01-20,tea_biscuit,Tea Biscuit,179
2023-01-20,chicken_roll,Chicken Roll,127
2023-01-20,egg_roll,Egg Roll,72
2023-01-20,veg_momo,Veg Momo,154
2023-01-20,ice_cream,Ice Cream,130
2023-01-21,veg_biryani,Veg Biryani,11
2023-01-21,fish_curry_rice,Fish Curry Rice,75
2023-01-21,luchi_aloo,Luchi Aloo,52
2023-01-21,ghugni,Ghugni,21
2023-01-21,maggi,Maggi,84
2023-01-21,tea_biscuit,Tea Biscuit,52
2023-01-21,chicken_roll,Chicken Roll,43
2023-01-21,egg_roll,Egg Roll,66
2023-01-21,veg_momo,Veg Momo,88
2023-01-21,ice_cream,Ice Cream,31
2023-01-22,veg_biryani,Veg Biryani,27
2023-01-22,fish_curry_rice,Fish Curry Rice,78
2023-01-22,luchi_aloo,Luchi Aloo,48
2023-01-22,ghugni,Ghugni,76
2023-01-22,maggi,Maggi,62
2023-01-22,tea_biscuit,Tea Biscuit,46
2023-01-22,chicken_roll,Chicken Roll,103
2023-01-22,egg_roll,Egg Roll,57
2023-01-22,veg_momo,Veg Momo,62
2023-01-22,ice_cream,Ice Cream,43
2023-01-23,veg_biryani,Veg Biryani,143
2023-01-23,fish_curry_rice,Fish Curry Rice,55
2023-01-23,luchi_aloo,Luchi Aloo,94
2023-01-23,ghugni,Ghugni,47
2023-01-23,maggi,Maggi,107
2023-01-23,tea_biscuit,Tea Biscuit,213
2023-01-23,chicken_roll,Chicken Roll,137
2023-01-23,egg_roll,Egg Roll,190
2023-01-23,veg_momo,Veg Momo,119
2023-01-23,ice_cream,Ice Cream,95
2023-01-24,veg_biryani,Veg Biryani,98
2023-01-24,fish_curry_rice,Fish Curry Rice,185
2023-01-24,luchi_aloo,Luchi Aloo,137
2023-01-24,ghugni,Ghugni,28
2023-01-24,maggi,Maggi,104
2023-01-24,tea_biscuit,Tea Biscuit,168
2023-01-24,chicken_roll,Chicken Roll,214
2023-01-24,egg_roll,Egg Roll,185
2023-01-24,veg_momo,Veg Momo,42
2023-01-24,ice_cream,Ice Cream,65
2023-01-25,veg_biryani,Veg Biryani,99
2023-01-25,fish_curry_rice,Fish Curry Rice,104
2023-01-25,luchi_aloo,Luchi Aloo,171
2023-01-25,ghugni,Ghugni,79
2023-01-25,maggi,Maggi,216
2023-01-25,tea_biscuit,Tea Biscuit,195
2023-01-25,chicken_roll,Chicken Roll,91
2023-01-25,egg_roll,Egg Roll,196
2023-01-25,veg_momo,Veg Momo,183
2023-01-25,ice_cream,Ice Cream,144
2023-01-26,veg_biryani,Veg Biryani,170
2023-01-26,fish_curry_rice,Fish Curry Rice,154
2023-01-26,luchi_aloo,Luchi Aloo,56
2023-01-26,ghugni,Ghugni,137
2023-01-26,maggi,Maggi,142
2023-01-26,tea_biscuit,Tea Biscuit,151
2023-01-26,chicken_roll,Chicken Roll,88
2023-01-26,egg_roll,Egg Roll,194
2023-01-26,veg_momo,Veg Momo,180
2023-01-26,ice_cream,Ice Cream,58
2023-01-27,veg_biryani,Veg Biryani,247
2023-01-27,fish_curry_rice,Fish Curry Rice,116
2023-01-27,luchi_aloo,Luchi Aloo,90
2023-01-27,ghugni,Ghugni,71
2023-01-27,maggi,Maggi,125
2023-01-27,tea_biscuit,Tea Biscuit,123
2023-01-27,chicken_roll,Chicken Roll,199
2023-01-27,egg_roll,Egg Roll,143
2023-01-27,veg_momo,Veg Momo,127
2023-01-27,ice_cream,Ice Cream,88
2023-01-28,veg_biryani,Veg Biryani,90
2023-01-28,fish_curry_rice,Fish Curry Rice,69
2023-01-28,luchi_aloo,Luchi Aloo,90
2023-01-28,ghugni,Ghugni,48
2023-01-28,maggi,Maggi,95
2023-01-28,tea_biscuit,Tea Biscuit,67
2023-01-28,chicken_roll,Chicken Roll,42
2023-01-28,egg_roll,Egg Roll,17
2023-01-28,veg_momo,Veg Momo,45
2023-01-28,ice_cream,Ice Cream,33
2023-01-29,veg_biryani,Veg Biryani,78
2023-01-29,fish_curry_rice,Fish Curry Rice,64
2023-01-29,luchi_aloo,Luchi Aloo,74
2023-01-29,ghugni,Ghugni,63
2023-01-29,maggi,Maggi,157
2023-01-29,tea_biscuit,Tea Biscuit,69
2023-01-29,chicken_roll,Chicken Roll,93
2023-01-29,egg_roll,Egg Roll,129
2023-01-29,veg_momo,Veg Momo,41
2023-01-29,ice_cream,Ice Cream,35
2023-01-30,veg_biryani,Veg Biryani,69
2023-01-30,fish_curry_rice,Fish Curry Rice,49
2023-01-30,luchi_aloo,Luchi Aloo,141
2023-01-30,ghugni,Ghugni,108
2023-01-30,maggi,Maggi,147
2023-01-30,tea_biscuit,Tea Biscuit,101
2023-01-30,chicken_roll,Chicken Roll,97
2023-01-30,egg_roll,Egg Roll,99
2023-01-30,veg_momo,Veg Momo,145
2023-01-30,ice_cream,Ice Cream,125
2023-01-31,veg_biryani,Veg Biryani,108
2023-01-31,fish_curry_rice,Fish Curry Rice,100
2023-01-31,luchi_aloo,Luchi Aloo,88
2023-01-31,ghugni,Ghugni,105
2023-01-31,maggi,Maggi,122
2023-01-31,tea_biscuit,Tea Biscuit,256
2023-01-31,chicken_roll,Chicken Roll,123
2023-01-31,egg_roll,Egg Roll,95
2023-01-31,veg_momo,Veg Momo,52
2023-01-31,ice_cream,Ice Cream,52
2023-02-01,veg_biryani,Veg Biryani,211
2023-02-01,fish_curry_rice,Fish Curry Rice,179
2023-02-01,luchi_aloo,Luchi Aloo,174
2023-02-01,ghugni,Ghugni,146
2023-02-01,maggi,Maggi,184
2023-02-01,tea_biscuit,Tea Biscuit,136
2023-02-01,chicken_roll,Chicken Roll,124
2023-02-01,egg_roll,Egg Roll,164
2023-02-01,veg_momo,Veg Momo,170
2023-02-01,ice_cream,Ice Cream,59
2023-02-02,veg_biryani,Veg Biryani,56
2023-02-02,fish_curry_rice,Fish Curry Rice,72
2023-02-02,luchi_aloo,Luchi Aloo,64
2023-02-02,ghugni,Ghugni,101
2023-02-02,maggi,Maggi,135
2023-02-02,tea_biscuit,Tea Biscuit,179
2023-02-02,chicken_roll,Chicken Roll,226
2023-02-02,egg_roll,Egg Roll,215
2023-02-02,veg_momo,Veg Momo,82
2023-02-02,ice_cream,Ice Cream,90
2023-02-03,veg_biryani,Veg Biryani,232
2023-02-03,fish_curry_rice,Fish Curry Rice,175
2023-02-03,luchi_aloo,Luchi Aloo,201
2023-02-03,ghugni,Ghugni,175
2023-02-03,maggi,Maggi,105
2023-02-03,tea_biscuit,Tea Biscuit,208
2023-02-03,chicken_roll,Chicken Roll,169
2023-02-03,egg_roll,Egg Roll,164
2023-02-03,veg_momo,Veg Momo,175
2023-02-03,ice_cream,Ice Cream,21
2023-02-04,veg_biryani,Veg Biryani,93
2023-02-04,fish_curry_rice,Fish Curry Rice,98
2023-02-04,luchi_aloo,Luchi Aloo,42
2023-02-04,ghugni,Ghugni,93
2023-02-04,maggi,Maggi,126
2023-02-04,tea_biscuit,Tea Biscuit,115
2023-02-04,chicken_roll,Chicken Roll,97
2023-02-04,egg_roll,Egg Roll,87
2023-02-04,veg_momo,Veg Momo,72
2023-02-04,ice_cream,Ice Cream,30
2023-02-05,veg_biryani,Veg Biryani,47
2023-02-05,fish_curry_rice,Fish Curry Rice,37
2023-02-05,luchi_aloo,Luchi Aloo,73
2023-02-05,ghugni,Ghugni,31
2023-02-05,maggi,Maggi,144
2023-02-05,tea_biscuit,Tea Biscuit,59
2023-02-05,chicken_roll,Chicken Roll,133
2023-02-05,egg_roll,Egg Roll,74
2023-02-05,veg_momo,Veg Momo,68
2023-02-05,ice_cream,Ice Cream,77
2023-02-06,veg_biryani,Veg Biryani,112
2023-02-06,fish_curry_rice,Fish Curry Rice,93
2023-02-06,luchi_aloo,Luchi Aloo,185
2023-02-06,ghugni,Ghugni,112
2023-02-06,maggi,Maggi,360
2023-02-06,tea_biscuit,Tea Biscuit,132
2023-02-06,chicken_roll,Chicken Roll,195
2023-02-06,egg_roll,Egg Roll,128
2023-02-06,veg_momo,Veg Momo,121
2023-02-06,ice_cream,Ice Cream,146
2023-02-07,veg_biryani,Veg Biryani,62
2023-02-07,fish_curry_rice,Fish Curry Rice,215
2023-02-07,luchi_aloo,Luchi Aloo,84
2023-02-07,ghugni,Ghugni,124
2023-02-07,maggi,Maggi,142
2023-02-07,tea_biscuit,Tea Biscuit,124
2023-02-07,chicken_roll,Chicken Roll,56
2023-02-07,egg_roll,Egg Roll,101
2023-02-07,veg_momo,Veg Momo,126
2023-02-07,ice_cream,Ice Cream,57
2023-02-08,veg_biryani,Veg Biryani,166
2023-02-08,fish_curry_rice,Fish Curry Rice,157
2023-02-08,luchi_aloo,Luchi Aloo,53
2023-02-08,ghugni,Ghugni,86
2023-02-08,maggi,Maggi,287
2023-02-08,tea_biscuit,Tea Biscuit,94
2023-02-08,chicken_roll,Chicken Roll,175
2023-02-08,egg_roll,Egg Roll,133
2023-02-08,veg_momo,Veg Momo,83
2023-02-08,ice_cream,Ice Cream,88
2023-02-09,veg_biryani,Veg Biryani,196
2023-02-09,fish_curry_rice,Fish Curry Rice,183
2023-02-09,luchi_aloo,Luchi Aloo,79
2023-02-09,ghugni,Ghugni,67
2023-02-09,maggi,Maggi,237
2023-02-09,tea_biscuit,Tea Biscuit,97
2023-02-09,chicken_roll,Chicken Roll,130
2023-02-09,egg_roll,Egg Roll,145
2023-02-09,veg_momo,Veg Momo,88
2023-02-09,ice_cream,Ice Cream,130
2023-02-10,veg_biryani,Veg Biryani,55
2023-02-10,fish_curry_rice,Fish Curry Rice,79
2023-02-10,luchi_aloo,Luchi Aloo,64
2023-02-10,ghugni,Ghugni,85
2023-02-10,maggi,Maggi,148
2023-02-10,tea_biscuit,Tea Biscuit,100
2023-02-10,chicken_roll,Chicken Roll,134
2023-02-10,egg_roll,Egg Roll,115
2023-02-10,veg_momo,Veg Momo,137
2023-02-10,ice_cream,Ice Cream,93
2023-02-11,veg_biryani,Veg Biryani,120
2023-02-11,fish_curry_rice,Fish Curry Rice,99
2023-02-11,luchi_aloo,Luchi Aloo,61
2023-02-11,ghugni,Ghugni,8
2023-02-11,maggi,Maggi,34
2023-02-11,tea_biscuit,Tea Biscuit,51
2023-02-11,chicken_roll,Chicken Roll,80
2023-02-11,egg_roll,Egg Roll,79
2023-02-11,veg_momo,Veg Momo,62
2023-02-11,ice_cream,Ice Cream,33
2023-02-12,veg_biryani,Veg Biryani,95
2023-02-12,fish_curry_rice,Fish Curry Rice,44
2023-02-12,luchi_aloo,Luchi Aloo,60
2023-02-12,ghugni,Ghugni,68
2023-02-12,maggi,Maggi,141
2023-02-12,tea_biscuit,Tea Biscuit,125
2023-02-12,chicken_roll,Chicken Roll,60
2023-02-12,egg_roll,Egg Roll,74
2023-02-12,veg_momo,Veg Momo,84
2023-02-12,ice_cream,Ice Cream,18
2023-02-13,veg_biryani,Veg Biryani,105
2023-02-13,fish_curry_rice,Fish Curry Rice,109
2023-02-13,luchi_aloo,Luchi Aloo,124
2023-02-13,ghugni,Ghugni,112
2023-02-13,maggi,Maggi,133
2023-02-13,tea_biscuit,Tea Biscuit,120
2023-02-13,chicken_roll,Chicken Roll,148
2023-02-13,egg_roll,Egg Roll,84
2023-02-13,veg_momo,Veg Momo,29
2023-02-13,ice_cream,Ice Cream,88
2023-02-14,veg_biryani,Veg Biryani,173
2023-02-14,fish_curry_rice,Fish Curry Rice,146
2023-02-14,luchi_aloo,Luchi Aloo,83
2023-02-14,ghugni,Ghugni,68
2023-02-14,maggi,Maggi,224
2023-02-14,tea_biscuit,Tea Biscuit,43
2023-02-14,chicken_roll,Chicken Roll,149
2023-02-14,egg_roll,Egg Roll,70
2023-02-14,veg_momo,Veg Momo,108
2023-02-14,ice_cream,Ice Cream,141
2023-02-15,veg_biryani,Veg Biryani,130
2023-02-15,fish_curry_rice,Fish Curry Rice,118
2023-02-15,luchi_aloo,Luchi Aloo,169
2023-02-15,ghugni,Ghugni,71
2023-02-15,maggi,Maggi,121
2023-02-15,tea_biscuit,Tea Biscuit,232
2023-02-15,chicken_roll,Chicken Roll,181
2023-02-15,egg_roll,Egg Roll,100
2023-02-15,veg_momo,Veg Momo,85
2023-02-15,ice_cream,Ice Cream,149
2023-02-16,veg_biryani,Veg Biryani,65
2023-02-16,fish_curry_rice,Fish Curry Rice,106
2023-02-16,luchi_aloo,Luchi Aloo,146
2023-02-16,ghugni,Ghugni,94
2023-02-16,maggi,Maggi,75
2023-02-16,tea_biscuit,Tea Biscuit,68
2023-02-16,chicken_roll,Chicken Roll,174
2023-02-16,egg_roll,Egg Roll,22
2023-02-16,veg_momo,Veg Momo,132
2023-02-16,ice_cream,Ice Cream,110
2023-02-17,veg_biryani,Veg Biryani,70
2023-02-17,fish_curry_rice,Fish Curry Rice,102
2023-02-17,luchi_aloo,Luchi Aloo,104
2023-02-17,ghugni,Ghugni,85
2023-02-17,maggi,Maggi,211
2023-02-17,tea_biscuit,Tea Biscuit,195
2023-02-17,chicken_roll,Chicken Roll,69
2023-02-17,egg_roll,Egg Roll,154
2023-02-17,veg_momo,Veg Momo,107
2023-02-17,ice_cream,Ice Cream,38
2023-02-18,veg_biryani,Veg Biryani,113
2023-02-18,fish_curry_rice,Fish Curry Rice,85
2023-02-18,luchi_aloo,Luchi Aloo,17
2023-02-18,ghugni,Ghugni,102
2023-02-18,maggi,Maggi,121
2023-02-18,tea_biscuit,Tea Biscuit,124
2023-02-18,chicken_roll,Chicken Roll,73
2023-02-18,egg_roll,Egg Roll,59
2023-02-18,veg_momo,Veg Momo,42
2023-02-18,ice_cream,Ice Cream,76
2023-02-19,veg_biryani,Veg Biryani,4
2023-02-19,fish_curry_rice,Fish Curry Rice,54
2023-02-19,luchi_aloo,Luchi Aloo,57
2023-02-19,ghugni,Ghugni,13
2023-02-19,maggi,Maggi,104
2023-02-19,tea_biscuit,Tea Biscuit,7
2023-02-19,chicken_roll,Chicken Roll,46
2023-02-19,egg_roll,Egg Roll,45
2023-02-19,veg_momo,Veg Momo,66
2023-02-19,ice_cream,Ice Cream,54
2023-02-20,veg_biryani,Veg Biryani,146
2023-02-20,fish_curry_rice,Fish Curry Rice,197
2023-02-20,luchi_aloo,Luchi Aloo,91
2023-02-20,ghugni,Ghugni,145
2023-02-20,maggi,Maggi,123
2023-02-20,tea_biscuit,Tea Biscuit,222
2023-02-20,chicken_roll,Chicken Roll,160
2023-02-20,egg_roll,Egg Roll,75
2023-02-20,veg_momo,Veg Momo,98
2023-02-20,ice_cream,Ice Cream,93
2023-02-21,veg_biryani,Veg Biryani,165
2023-02-21,fish_curry_rice,Fish Curry Rice,80
2023-02-21,luchi_aloo,Luchi Aloo,69
2023-02-21,ghugni,Ghugni,156
2023-02-21,maggi,Maggi,236
2023-02-21,tea_biscuit,Tea Biscuit,266
2023-02-21,chicken_roll,Chicken Roll,84
2023-02-21,egg_roll,Egg Roll,152
2023-02-21,veg_momo,Veg Momo,160
2023-02-21,ice_cream,Ice Cream,78
2023-02-22,veg_biryani,Veg Biryani,138
2023-02-22,fish_curry_rice,Fish Curry Rice,84
2023-02-22,luchi_aloo,Luchi Aloo,94
2023-02-22,ghugni,Ghugni,62
2023-02-22,maggi,Maggi,228
2023-02-22,tea_biscuit,Tea Biscuit,214
2023-02-22,chicken_roll,Chicken Roll,152
2023-02-22,egg_roll,Egg Roll,142
2023-02-22,veg_momo,Veg Momo,141
2023-02-22,ice_cream,Ice Cream,70
2023-02-23,veg_biryani,Veg Biryani,152
2023-02-23,fish_curry_rice,Fish Curry Rice,202
2023-02-23,luchi_aloo,Luchi Aloo,96
2023-02-23,ghugni,Ghugni,144
2023-02-23,maggi,Maggi,326
2023-02-23,tea_biscuit,Tea Biscuit,110
2023-02-23,chicken_roll,Chicken Roll,80
2023-02-23,egg_roll,Egg Roll,88
2023-02-23,veg_momo,Veg Momo,151
2023-02-23,ice_cream,Ice Cream,82
2023-02-24,veg_biryani,Veg Biryani,133
2023-02-24,fish_curry_rice,Fish Curry Rice,120
2023-02-24,luchi_aloo,Luchi Aloo,80
2023-02-24,ghugni,Ghugni,142
2023-02-24,maggi,Maggi,84
2023-02-24,tea_biscuit,Tea Biscuit,102
2023-02-24,chicken_roll,Chicken Roll,206
2023-02-24,egg_roll,Egg Roll,188
2023-02-24,veg_momo,Veg Momo,82
2023-02-24,ice_cream,Ice Cream,137
2023-02-25,veg_biryani,Veg Biryani,74
2023-02-25,fish_curry_rice,Fish Curry Rice,58
2023-02-25,luchi_aloo,Luchi Aloo,83
2023-02-25,ghugni,Ghugni,55
2023-02-25,maggi,Maggi,100
2023-02-25,tea_biscuit,Tea Biscuit,12
2023-02-25,chicken_roll,Chicken Roll,69
2023-02-25,egg_roll,Egg Roll,30
2023-02-25,veg_momo,Veg Momo,45
2023-02-25,ice_cream,Ice Cream,32
2023-02-26,veg_biryani,Veg Biryani,102
2023-02-26,fish_curry_rice,Fish Curry Rice,112
2023-02-26,luchi_aloo,Luchi Aloo,59
2023-02-26,ghugni,Ghugni,69
2023-02-26,maggi,Maggi,42
2023-02-26,tea_biscuit,Tea Biscuit,105
2023-02-26,chicken_roll,Chicken Roll,56
2023-02-26,egg_roll,Egg Roll,61
2023-02-26,veg_momo,Veg Momo,23
2023-02-26,ice_cream,Ice Cream,24
2023-02-27,veg_biryani,Veg Biryani,42
2023-02-27,fish_curry_rice,Fish Curry Rice,127
2023-02-27,luchi_aloo,Luchi Aloo,153
2023-02-27,ghugni,Ghugni,150
2023-02-27,maggi,Maggi,242
2023-02-27,tea_biscuit,Tea Biscuit,189
2023-02-27,chicken_roll,Chicken Roll,94
2023-02-27,egg_roll,Egg Roll,38
2023-02-27,veg_momo,Veg Momo,153
2023-02-27,ice_cream,Ice Cream,116
2023-02-28,veg_biryani,Veg Biryani,93
2023-02-28,fish_curry_rice,Fish Curry Rice,32
2023-02-28,luchi_aloo,Luchi Aloo,132
2023-02-28,ghugni,Ghugni,73
2023-02-28,maggi,Maggi,218
2023-02-28,tea_biscuit,Tea Biscuit,211
2023-02-28,chicken_roll,Chicken Roll,146
2023-02-28,egg_roll,Egg Roll,146
2023-02-28,veg_momo,Veg Momo,74
2023-02-28,ice_cream,Ice Cream,59
2023-03-01,veg_biryani,Veg Biryani,216
2023-03-01,fish_curry_rice,Fish Curry Rice,183
2023-03-01,luchi_aloo,Luchi Aloo,117
2023-03-01,ghugni,Ghugni,88
2023-03-01,maggi,Maggi,321
2023-03-01,tea_biscuit,Tea Biscuit,220
2023-03-01,chicken_roll,Chicken Roll,59
2023-03-01,egg_roll,Egg Roll,96
2023-03-01,veg_momo,Veg Momo,118
2023-03-01,ice_cream,Ice Cream,54
2023-03-02,veg_biryani,Veg Biryani,185
